,MinTemp,MaxTemp,Precipitation,ReferenceET,Date,co2ppm
0,6.017975,6.837036,0.934538958244957,0.26844911117421766,2060-01-01,526.6145
1,5.5150146,6.2218933,1.230668427888304,0.19395375829762385,2060-01-02,526.6145
2,4.2565613,10.453888,12.71886583417654,0.6968993270835752,2060-01-03,526.6145
3,7.423004,8.777924,2.420272183371708,0.23284032019939285,2060-01-04,526.6145
4,5.8148193,7.4158936,2.376591571373865,0.38358995076421726,2060-01-05,526.6145
5,5.327301,6.3352356,2.3557093169074506,0.32199771457964665,2060-01-06,526.6145
6,5.179077,6.765045,0.08711605332791805,0.5771720923737496,2060-01-07,526.6145
7,4.3309937,6.986603,8.823350979946554,0.2905694105934676,2060-01-08,526.6145
8,5.464813,7.3499756,3.090022341348231,0.2948696863706551,2060-01-09,526.6145
9,5.056793,5.982086,0.5637363967252895,0.34141190281051154,2060-01-10,526.6145
10,4.074829,5.2161255,0.8263388561317697,0.3635224725634215,2060-01-11,526.6145
11,2.1068115,5.3271484,0.11014925803465303,0.6546239580304374,2060-01-12,526.6145
12,5.3387146,8.793579,0.7744820381049067,0.4330857703861375,2060-01-13,526.6145
13,8.747406,13.054352,12.875365186482668,0.50751068821453,2060-01-14,526.6145
14,12.9201355,13.600952,0.6565345160197467,0.17957901384556124,2060-01-15,526.6145
15,10.49054,13.402466,3.723252599593252,0.4171054088389575,2060-01-16,526.6145
16,9.42337,10.441681,1.9838916545268148,0.2656826493092096,2060-01-17,526.6145
17,6.59433,10.151367,0.2474382214131765,0.6679067553085685,2060-01-18,526.6145
18,6.174988,9.885773,0.004312764212954789,0.9881985161811419,2060-01-19,526.6145
19,7.854553,8.80481,1.9488349207676947,0.2004749781267208,2060-01-20,526.6145
20,7.5400696,8.5364685,0.3391205784282647,0.28193566019552807,2060-01-21,526.6145
21,7.5913696,10.330841,0.9226458234479651,0.63047469285001,2060-01-22,526.6145
22,10.192108,12.749695,4.344873712398112,0.41982523287097284,2060-01-23,526.6145
23,7.767151,13.023926,1.6601285431534052,0.8169889560724007,2060-01-24,526.6145
24,6.9706116,9.069061,1.6650057106744498,0.7547040321721523,2060-01-25,526.6145
25,8.618713,13.519714,6.048785336315632,0.6446668955304135,2060-01-26,526.6145
26,5.0212708,8.495514,0.8869028475601226,1.0521043222378887,2060-01-27,526.6145
27,3.6214905,5.8859253,1.0164608509512618,0.8624718017535832,2060-01-28,526.6145
28,3.2126465,6.873596,0.005213887357058411,1.006735060319758,2060-01-29,526.6145
29,6.4360046,7.3887634,0.11286542685411405,0.6452236671624203,2060-01-30,526.6145
30,5.7469177,7.818512,0.010648525312717538,0.9722375645396031,2060-01-31,526.6145
31,6.5519104,8.812164,0.006813360141677549,0.9707772434559375,2060-02-01,526.6145
32,5.477844,6.7877502,0.31563845404889435,0.37129988073114917,2060-02-02,526.6145
33,3.532257,8.390991,0.0945178991969442,0.7971308187766694,2060-02-03,526.6145
34,3.436676,10.619751,9.237597626633942,1.3409907052515444,2060-02-04,526.6145
35,3.8138733,11.634735,15.03769252449274,0.8897364591308252,2060-02-05,526.6145
36,3.7619324,5.7895813,0.004813580676454876,0.9465333071591528,2060-02-06,526.6145
37,4.9132996,6.88089,2.839774440508336,0.8876058057648216,2060-02-07,526.6145
38,6.9871216,7.965912,5.500133614987135,0.2710302525959921,2060-02-08,526.6145
39,5.502228,7.3640747,1.5926272433716804,0.6561079485694912,2060-02-09,526.6145
40,4.9402466,6.1452637,1.689712784718722,0.41550607636984105,2060-02-10,526.6145
41,3.2864075,5.9802246,2.7200393727980554,0.3859071572425635,2060-02-11,526.6145
42,1.5939331,3.2865906,1.5641962469089776,0.5018631785510025,2060-02-12,526.6145
43,0.25027466,4.662964,0.005410931862570578,0.9774060338323748,2060-02-13,526.6145
44,4.389099,8.927185,0.18108395888702944,0.7605259610420575,2060-02-14,526.6145
45,4.3589783,9.685211,2.4524113861843944,0.7363761709021199,2060-02-15,526.6145
46,3.9986267,7.075012,0.03720149088621838,1.212565797823677,2060-02-16,526.6145
47,6.636261,10.904572,9.305447665974498,0.655166595524763,2060-02-17,526.6145
48,9.279419,11.762665,3.9626300102099776,0.672017131123106,2060-02-18,526.6145
49,3.8050537,9.02771,1.0962967498926446,0.8799777919387326,2060-02-19,526.6145
50,3.5977173,6.0245667,0.027519228751771152,1.2189130931388428,2060-02-20,526.6145
51,4.6557617,6.4136353,1.9091403752099723,0.661574761453168,2060-02-21,526.6145
52,3.6358948,6.640259,8.58923876658082,0.4063091404491163,2060-02-22,526.6145
53,3.2527466,4.929779,0.529713740979787,1.2519871247994137,2060-02-23,526.6145
54,0.98742676,4.786377,2.070015238132328,1.2457567850174027,2060-02-24,526.6145
55,0.17440796,8.38797,12.646387098357081,1.2536113808386786,2060-02-25,526.6145
56,8.606049,13.921875,0.7811315066646785,0.8999166140812127,2060-02-26,526.6145
57,9.399017,13.866608,0.25743277656147256,1.9466011813446855,2060-02-27,526.6145
58,8.870178,13.453857,15.290289977565408,0.6629183328365907,2060-02-28,526.6145
59,8.870178,13.453857,0.0,0.6629183431215355,2060-02-29,526.6145
60,6.6314697,11.366852,1.930915773846209,1.0595727508555095,2060-03-01,526.6145
61,6.492096,9.330292,1.8356773420237005,0.6919364815519684,2060-03-02,526.6145
62,4.377075,9.592957,2.2543061000760645,1.0434883319642432,2060-03-03,526.6145
63,4.2862854,7.68808,4.0614554774947464,0.6804499890418343,2060-03-04,526.6145
64,5.7776184,8.821899,0.8209253777749836,1.6289639913383023,2060-03-05,526.6145
