,MinTemp,MaxTemp,Precipitation,ReferenceET,Date,co2ppm
0,8.002655,9.158081,1.0935638041701168,0.40803109797054865,2040-01-01,483.983
1,8.915375,10.687134,2.923325775191188,0.5029445369467072,2040-01-02,483.983
2,7.8268433,9.99292,1.1181072739418596,0.3909387943753616,2040-01-03,483.983
3,10.003479,11.931763,0.7092233427101746,0.5076501412654997,2040-01-04,483.983
4,10.366943,11.84198,0.5325914316927083,0.24581059426131693,2040-01-05,483.983
5,9.280762,10.746704,0.01009399550184753,0.46266664766515236,2040-01-06,483.983
6,10.727844,11.7699585,5.034623052339305e-15,0.40829251076500256,2040-01-07,483.983
7,10.712067,11.491913,0.34856758575187996,0.5336404450498239,2040-01-08,483.983
8,10.966064,11.5381775,0.2454217516060453,0.4025548697721687,2040-01-09,483.983
9,10.821625,11.613617,0.011766924944822676,0.4763135730736916,2040-01-10,483.983
10,10.356415,11.684174,2.78036801610142,0.46029940795390867,2040-01-11,483.983
11,9.449158,10.894745,6.703192996792495,0.5124328164767527,2040-01-12,483.983
12,9.013855,9.403503,4.610241414047778,0.5158612147617075,2040-01-13,483.983
13,8.736389,9.316345,6.33159913122654,0.5805636500766584,2040-01-14,483.983
14,8.176056,9.222076,0.9827311820117757,0.6605095395651489,2040-01-15,483.983
15,8.415375,8.907898,0.36518190609058365,0.3039471729486375,2040-01-16,483.983
16,7.5848083,8.458221,0.002354681134875136,0.5222858861499061,2040-01-17,483.983
17,6.496399,7.4482727,4.821412141613479e-15,0.5994487531759917,2040-01-18,483.983
18,6.024292,7.330078,4.4423617006641124e-14,0.6424589197430993,2040-01-19,483.983
19,6.7782593,7.714966,1.6337237120385016e-12,0.699043838247173,2040-01-20,483.983
20,6.584198,7.951233,2.6022348338650136e-11,0.7251346191465607,2040-01-21,483.983
21,7.381134,8.5529175,3.219189670082968e-11,0.737880122006001,2040-01-22,483.983
22,8.636871,10.279816,0.30191078258212656,0.5212267704446447,2040-01-23,483.983
23,10.212555,11.103302,1.3631317822728306,0.6823929418721424,2040-01-24,483.983
24,9.592407,11.557953,0.3501795043121092,0.7749028306292254,2040-01-25,483.983
25,8.921051,10.303253,0.002383600389066487,0.8455109957427803,2040-01-26,483.983
26,8.013275,8.883514,0.2738770686846692,0.560137299114914,2040-01-27,483.983
27,7.432617,8.452087,0.025465919497946743,0.6307787371873623,2040-01-28,483.983
28,7.915619,8.916779,3.723909535603339e-15,0.8584215836608273,2040-01-29,483.983
29,7.5666504,8.841644,1.002099785598243e-11,0.6924710283933675,2040-01-30,483.983
30,8.880646,10.506348,3.5159900318831205,0.3563502207980954,2040-01-31,483.983
31,9.38092,10.542938,0.6960316677577794,0.8118150821567036,2040-02-01,483.983
32,9.172119,10.516693,1.856328413123265,0.58987940933023,2040-02-02,483.983
33,9.540131,10.630646,2.8761429945006967,0.9112167216687038,2040-02-03,483.983
34,8.4104,9.993713,1.0858461930183694,0.5679044882825937,2040-02-04,483.983
35,8.457153,11.299438,5.801359727047384,0.36747794085825686,2040-02-05,483.983
36,9.2222595,11.358887,7.247632811777294,0.31936765774011217,2040-02-06,483.983
37,9.150696,11.777374,3.350819810293615,0.34436511898655264,2040-02-07,483.983
38,9.023712,11.25827,0.19360261285328306,0.9155908164737914,2040-02-08,483.983
39,8.020599,8.804993,0.04610819451045245,0.856862714097452,2040-02-09,483.983
40,8.09787,9.068665,0.01380406997668615,0.8453023935119598,2040-02-10,483.983
41,8.191132,9.6501465,3.894920786842704,0.39880164789497735,2040-02-11,483.983
42,7.5121765,8.570404,3.385929821524769,0.7229101854935479,2040-02-12,483.983
43,6.4258423,7.4019165,1.3153403968317434,0.6864093675912426,2040-02-13,483.983
44,6.868622,7.5771484,0.3500807288219221,0.8239257395553765,2040-02-14,483.983
45,6.315674,7.766968,10.590775636956096,0.30852702341358124,2040-02-15,483.983
46,7.453766,7.76297,0.5844358733156696,0.8458256621603983,2040-02-16,483.983
47,7.3239746,8.444031,0.33992897369898856,1.2101544768998078,2040-02-17,483.983
48,8.271637,8.923767,0.4413941904203966,0.8004438523971648,2040-02-18,483.983
49,8.781433,9.352692,0.5210045637795702,0.7838473623820442,2040-02-19,483.983
50,6.848694,9.294373,0.895343633601442,0.6288676016547023,2040-02-20,483.983
51,6.0798645,6.945526,0.08012997604964767,1.1077563807062083,2040-02-21,483.983
52,6.617859,7.101349,0.43453133694129065,0.7486558922029397,2040-02-22,483.983
53,6.523773,7.0111694,1.6706776397768408,0.5591359405075488,2040-02-23,483.983
54,6.4790344,7.2381287,3.251719626132399,0.728005141558324,2040-02-24,483.983
55,6.742737,7.880066,5.058210028801113,0.7268506410573414,2040-02-25,483.983
56,6.6726074,7.235016,5.400153016671538,0.7568452102571739,2040-02-26,483.983
57,6.4721375,6.8902893,3.5922487964853644,0.812826771765334,2040-02-27,483.983
58,6.143524,6.578888,6.428720662370324,0.8015103748354712,2040-02-28,483.983
59,5.8771057,6.652313,7.430379884317517,0.5954062056391585,2040-02-29,483.983
60,6.1037903,6.6427,3.895508253481239,0.9661048534393945,2040-03-01,483.983
61,6.1009827,7.942383,2.660345030017197,1.1370720497791995,2040-03-02,483.983
62,6.2769775,7.3678894,3.6664459272287786,0.9101991382313575,2040-03-03,483.983
63,6.1808167,7.471649,3.5660199355334044,1.1707539623793763,2040-03-04,483.983
64,6.7561035,7.82428,11.33480197750032,0.953906162668006,2040-03-05,483.983
65,6.969116,7.8165283,4.524239001329988,0.9512375570574908,2040-03-06,483.983
