,MinTemp,MaxTemp,Precipitation,ReferenceET,Date,co2ppm
0,8.173126,10.575226,3.389864810742438,0.30903799267105625,2060-01-01,526.6145
1,9.421997,10.590088,0.1774052594555542,0.43725264272149467,2060-01-02,526.6145
2,8.477051,11.663483,6.771660991944373,0.5586789979189644,2060-01-03,526.6145
3,7.2464294,8.027863,0.41437461477471516,0.5447525897476133,2060-01-04,526.6145
4,7.290619,8.544678,6.122933118604124,0.5252901168281132,2060-01-05,526.6145
5,7.716614,10.325287,1.4623548660892993,0.3426137612307051,2060-01-06,526.6145
6,7.2409973,8.880066,0.09498074723524041,0.6192707983799823,2060-01-07,526.6145
7,8.621735,10.473785,0.11762846625060774,0.47546600326354305,2060-01-08,526.6145
8,7.278412,9.428345,3.548881998208654e-11,0.7002511335369288,2060-01-09,526.6145
9,7.142212,8.929657,0.3183437198458705,0.5247578987125003,2060-01-10,526.6145
10,8.819489,9.706268,0.08191734486899804,0.5191717174329773,2060-01-11,526.6145
11,9.850586,11.28595,1.7865221947431564,0.3920752088095941,2060-01-12,526.6145
12,7.025696,10.569519,11.643249308690429,0.6089502474684707,2060-01-13,526.6145
13,6.126129,6.9589233,7.802611822262406,0.15245771786552026,2060-01-14,526.6145
14,6.4380493,7.4103394,0.6125230414909311,0.28794097235975613,2060-01-15,526.6145
15,6.8673096,7.3354797,0.1150732692622114,0.48809913837651153,2060-01-16,526.6145
16,6.525543,7.2561035,0.10886480340559501,0.525577774799588,2060-01-17,526.6145
17,7.021179,8.183838,0.019728060260604252,0.636623951939764,2060-01-18,526.6145
18,6.7523804,7.262268,0.10017132262873929,0.36776276307498346,2060-01-19,526.6145
19,5.5495605,7.220154,0.17582858417881653,0.3409455491131176,2060-01-20,526.6145
20,5.6033936,7.8226013,1.2028890196233988,0.36889498284962197,2060-01-21,526.6145
21,7.1739197,9.130981,5.651388200931251,0.4548072254657828,2060-01-22,526.6145
22,7.5925293,9.670288,0.19727046819753014,0.7467436904092252,2060-01-23,526.6145
23,9.802368,10.84552,9.339489927515388,0.5565077091998838,2060-01-24,526.6145
24,7.2893677,9.999634,15.897063491865993,0.6260298216276525,2060-01-25,526.6145
25,6.427887,7.607147,0.3590465887100436,0.6791873924610659,2060-01-26,526.6145
26,6.652313,7.9712524,0.05698961231246358,0.7605868622425034,2060-01-27,526.6145
27,6.9121094,11.030457,5.472665070556104,0.4943715877483269,2060-01-28,526.6145
28,10.456726,12.239868,2.762337913736701,0.3843487954971742,2060-01-29,526.6145
29,10.583313,12.350525,10.070141265168786,0.24385600436485208,2060-01-30,526.6145
30,11.636902,12.667908,8.51055218372494,0.564312551547175,2060-01-31,526.6145
31,7.99234,11.509186,0.9913150628563017,0.9703295356773514,2060-02-01,526.6145
32,6.278534,7.786194,0.3307104387204163,0.8839983016574291,2060-02-02,526.6145
33,6.101288,6.993469,0.003460530933807604,0.8133365507194104,2060-02-03,526.6145
34,5.7385864,7.2467957,2.3632380994968116,0.2757204993586382,2060-02-04,526.6145
35,5.345886,9.459198,2.2917733644135296,0.7097850608537091,2060-02-05,526.6145
36,7.6622925,10.546265,0.6346357069560327,0.8123137384942428,2060-02-06,526.6145
37,6.77536,8.328796,8.405722246456214e-16,1.0382857007606883,2060-02-07,526.6145
38,7.7169495,8.891083,0.01723499699437525,0.8716378496473873,2060-02-08,526.6145
39,6.176758,8.183868,3.548132365551053e-17,1.083251281107442,2060-02-09,526.6145
40,5.5369873,7.0188904,6.386723531524256e-14,0.9473027336374396,2060-02-10,526.6145
41,6.290619,8.354889,0.008036458257265622,1.125323009205706,2060-02-11,526.6145
42,7.914032,8.650757,0.6788101571146399,0.8654418131107906,2060-02-12,526.6145
43,7.9520874,9.883942,0.0023948519583427696,0.9476256270865264,2060-02-13,526.6145
44,8.444061,10.576782,1.7247514828202353e-15,1.172354078203115,2060-02-14,526.6145
45,7.2556763,9.163574,4.279193916256232e-15,1.2688616427029844,2060-02-15,526.6145
46,8.0364685,9.422546,7.742041261012654e-11,1.2876690246274578,2060-02-16,526.6145
47,8.414246,9.447571,0.03564009211913799,0.8676014078354035,2060-02-17,526.6145
48,7.8042297,10.200867,0.009626944643059687,1.3175134688237133,2060-02-18,526.6145
49,8.55896,10.048828,0.06097887107898714,0.9325123791303633,2060-02-19,526.6145
50,7.416504,9.039581,2.4133828876074404,0.975246901741486,2060-02-20,526.6145
51,6.652771,7.924835,0.9831088391365483,1.2555219123382868,2060-02-21,526.6145
52,7.1345215,7.5557556,6.699821585789323,0.612186955356359,2060-02-22,526.6145
53,6.9351807,7.50473,5.220171972177923,0.654126170854403,2060-02-23,526.6145
54,6.1707764,7.2012634,0.42182788165519014,1.2381219992879073,2060-02-24,526.6145
55,6.506958,8.906708,2.342656336259097,0.5830942539376857,2060-02-25,526.6145
56,7.356842,8.287811,4.697618982754648,1.3124307980332153,2060-02-26,526.6145
57,5.8345947,7.3308716,5.050148314330727,0.9450504983312071,2060-02-27,526.6145
58,6.0586853,7.7933655,3.46885125618428,1.40219286545361,2060-02-28,526.6145
59,6.3481445,7.9237976,3.436366457026452,1.2186689660203898,2060-02-29,526.6145
60,6.3451843,7.156189,5.2333715837448835,0.7692998729325082,2060-03-01,526.6145
61,6.4201355,7.4648743,0.01429611675121123,1.41977128590453,2060-03-02,526.6145
62,6.054718,8.974274,5.430207797326148,0.37672387472569957,2060-03-03,526.6145
63,6.0725403,8.080109,0.3956992499297485,1.2618059541505098,2060-03-04,526.6145
64,5.6645813,6.515503,0.008466072949886438,1.5644704770342666,2060-03-05,526.6145
65,5.951538,6.842102,3.3833068299638953e-17,1.6284576760356477,2060-03-06,526.6145
66,6.583008,8.495026,2.1825267621077e-19,1.765334184699026,2060-03-07,526.6145
67,7.199188,8.646057,2.058247068025091e-18,1.8182309532112388,2060-03-08,526.6145
68,8.030579,9.829437,2.0539369188412258e-17,1.9463263242598166,2060-03-09,526.6145
69,8.097687,9.617249,0.7221042324090376,1.5854073854858919,2060-03-10,526.6145
70,8.76767,9.830322,1.7882171727251261,0.6549125682673168,2060-03-11,526.6145
71,8.539154,9.698853,0.05855706422153162,1.4122886129049887,2060-03-12,526.6145
72,8.745728,10.540588,0.029195693696237868,1.8871802534573332,2060-03-13,526.6145
73,8.817413,9.9053955,2.1815210650333087e-21,2.0610745895059885,2060-03-14,526.6145
74,7.306549,9.397217,0.003691368976888043,2.117009005685968,2060-03-15,526.6145
75,6.723297,7.9510193,5.0124228349886835,1.4824163266928292,2060-03-16,526.6145
76,6.2761536,7.202301,9.19841683935374,1.1331549403302341,2060-03-17,526.6145
77,6.50708,7.536316,6.004090723581612,1.5406283393552542,2060-03-18,526.6145
78,5.407318,6.4864807,8.051133784465492,1.1757487169085097,2060-03-19,526.6145
79,5.3896484,6.823181,3.6926650442183018,1.6400533006063653,2060-03-20,526.6145
80,5.8697205,8.057556,2.2125274466816336,1.0503473511805104,2060-03-21,526.6145
81,7.370575,8.695221,0.31452715120394714,1.7052505620905527,2060-03-22,526.6145
82,7.3439026,9.341187,0.0036700893588204053,1.9331281741849435,2060-03-23,526.6145
83,7.416321,8.166138,0.08722200909687672,1.863688120346501,2060-03-24,526.6145
84,7.6600037,9.977295,0.023923527351144003,2.407470719936866,2060-03-25,526.6145
85,9.162231,13.081909,4.948513442650437,1.3230094876192573,2060-03-26,526.6145
86,9.72644,12.559967,2.7670863666571677,1.9911692024401657,2060-03-27,526.6145
87,9.36087,11.473785,3.6166231613606215,0.4566739026040768,2060-03-28,526.6145
88,9.554382,10.839447,0.9274938376620412,1.088769128959049,2060-03-29,526.6145
89,10.335724,12.63559,1.3786670398447591e-11,2.7897224686176534,2060-03-30,526.6145
90,9.815369,12.186829,2.9521777863406732e-15,2.866746404965223,2060-03-31,526.6145
91,8.941376,12.009369,5.6029610254822895e-15,2.843105488513764,2060-04-01,526.6145
92,9.485992,13.124268,5.1169653750731614e-14,3.06627681421222,2060-04-02,526.6145
93,9.433502,14.315735,1.538505955934414e-10,3.2605776454986084,2060-04-03,526.6145
94,7.912567,9.640228,0.041154430800816044,1.9200177709156556,2060-04-04,526.6145
95,9.905212,11.78064,2.3000634333584458,1.9704611031013086,2060-04-05,526.6145
96,7.4938354,9.596802,0.09194597441819496,2.6412267231623234,2060-04-06,526.6145
97,9.491943,11.643555,0.0819578775917762,2.0955308686833716,2060-04-07,526.6145
98,8.595428,10.4166565,3.454021573998034,1.25138290243553,2060-04-08,526.6145
99,6.461487,10.046539,0.6287903903285041,2.9634418756880785,2060-04-09,526.6145
100,8.688599,12.1388855,1.3116471993271261,2.3491847971225392,2060-04-10,526.6145
101,10.121307,13.509705,0.07300242468772922,2.6962364633146394,2060-04-11,526.6145
102,10.495728,14.5199585,4.667301115114242,1.945287128132753,2060-04-12,526.6145
103,9.572296,12.097321,8.893175969578655e-13,3.268916590330878,2060-04-13,526.6145
104,9.970764,12.510284,0.30081008808338083,3.0669428621436396,2060-04-14,526.6145
105,10.087769,11.968445,0.02624265180202201,3.1825240685150074,2060-04-15,526.6145
106,9.402649,10.426453,0.004859910541199497,2.7337050641330243,2060-04-16,526.6145
107,8.5784,11.1586,6.204041918872125e-10,3.212013173028568,2060-04-17,526.6145
108,9.563599,14.761475,2.2372498751049678e-10,3.392849001770012,2060-04-18,526.6145
109,11.624512,15.279999,1.6789160028565675,2.961272113769778,2060-04-19,526.6145
110,9.06311,11.562378,13.198879826813936,1.138993241804913,2060-04-20,526.6145
111,8.943359,11.933868,0.17705433929222636,2.9535026339381534,2060-04-21,526.6145
112,10.079285,13.758911,0.0019403926785344083,3.663015615103996,2060-04-22,526.6145
113,8.222046,10.969269,4.903195844963193,0.5504529024010933,2060-04-23,526.6145
114,8.416382,13.424011,0.003936695577522187,3.853112185160644,2060-04-24,526.6145
115,8.779755,13.055237,0.01128978142332926,3.829718177037206,2060-04-25,526.6145
116,8.69455,12.448578,0.08988267072709277,3.258227366989423,2060-04-26,526.6145
117,11.163208,15.167023,7.226044510333371e-18,3.864885060091658,2060-04-27,526.6145
118,11.760376,13.2404785,14.047439396381378,0.7698050205631823,2060-04-28,526.6145
119,11.68515,14.564392,9.7337381914258,2.4473024734143882,2060-04-29,526.6145
120,10.917236,16.04837,7.408791738648722e-16,4.01188569165228,2060-04-30,526.6145
121,10.198456,12.86026,0.02284322445120779,3.6989994217720583,2060-05-01,526.6145
122,10.096069,12.996735,1.5574897313386946e-15,3.729068915226249,2060-05-02,526.6145
123,10.052795,12.593811,5.080508615355939,2.2028600466813817,2060-05-03,526.6145
124,9.55542,11.310883,0.2960365090984851,2.2122544604607803,2060-05-04,526.6145
125,8.83139,10.193848,6.446756422519684,1.6865543764300195,2060-05-05,526.6145
