Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
18	5	1979	15.0	26.0	0.0	4.8
19	5	1979	16.0	29.0	0.0	5.5
20	5	1979	14.0	26.0	0.0	5.3
21	5	1979	11.0	22.0	0.0	4.3
22	5	1979	12.0	24.0	0.0	4.8
23	5	1979	9.0	28.0	0.0	5.6
24	5	1979	15.0	29.0	0.0	5.9
25	5	1979	15.0	29.0	0.0	6.0
26	5	1979	18.0	29.0	0.0	6.0
27	5	1979	12.0	29.0	0.0	6.0
28	5	1979	14.0	28.0	0.0	5.7
29	5	1979	13.0	31.0	0.0	6.5
30	5	1979	15.0	30.0	0.0	6.1
31	5	1979	15.0	32.0	0.0	6.7
1	6	1979	15.0	33.0	0.0	6.9
2	6	1979	19.0	32.0	0.0	6.6
3	6	1979	17.0	33.0	0.0	6.9
4	6	1979	17.0	29.0	1.6	5.5
5	6	1979	18.0	27.0	0.0	4.6
6	6	1979	18.0	30.0	0.0	5.7
7	6	1979	18.0	26.0	1.9	4.5
8	6	1979	18.0	28.0	0.0	5.2
9	6	1979	16.0	29.0	0.0	5.8
10	6	1979	15.0	33.0	0.0	6.8
11	6	1979	19.0	35.0	0.0	7.3
12	6	1979	21.0	34.0	0.0	6.7
13	6	1979	19.0	37.0	0.0	7.5
14	6	1979	19.0	32.0	0.0	6.3
15	6	1979	20.0	29.0	1.2	5.3
16	6	1979	20.0	30.0	0.0	5.6
17	6	1979	18.0	26.0	0.0	5.0
18	6	1979	9.0	28.0	0.0	5.7
19	6	1979	16.0	28.0	0.0	5.9
20	6	1979	17.0	27.0	0.0	5.3
21	6	1979	16.0	29.0	0.0	5.9
22	6	1979	15.0	28.0	0.0	5.6
23	6	1979	16.0	31.0	0.0	6.3
24	6	1979	17.0	35.0	0.0	7.3
25	6	1979	20.0	34.0	0.0	6.9
26	6	1979	21.0	33.0	0.0	6.5
27	6	1979	22.0	33.0	0.0	6.4
28	6	1979	21.0	33.0	0.0	6.6
29	6	1979	23.0	31.0	0.0	5.5
30	6	1979	23.0	34.0	0.0	7.0
1	7	1979	20.0	32.0	0.0	6.5
2	7	1979	21.0	32.0	0.0	6.2
3	7	1979	20.0	29.0	0.0	5.3
4	7	1979	19.0	29.0	0.0	5.6
5	7	1979	18.0	28.0	0.0	5.0
6	7	1979	19.0	29.0	0.0	5.5
7	7	1979	17.0	29.0	0.0	5.7
8	7	1979	15.0	32.0	0.0	6.8
9	7	1979	19.0	33.0	0.0	7.1
10	7	1979	18.0	30.0	0.0	5.5
11	7	1979	18.0	35.0	0.0	7.1
12	7	1979	23.0	36.0	0.0	7.3
13	7	1979	22.0	37.0	0.0	7.6
14	7	1979	22.0	33.0	0.0	6.5
15	7	1979	21.0	31.0	0.0	5.9
16	7	1979	20.0	33.0	0.0	6.6
17	7	1979	18.0	33.0	0.0	6.8
18	7	1979	20.0	30.0	0.0	5.4
19	7	1979	18.0	34.0	0.0	6.7
20	7	1979	23.0	38.0	0.0	7.6
21	7	1979	22.0	39.0	0.0	7.7
22	7	1979	22.0	37.0	0.0	7.6
23	7	1979	21.0	34.0	0.0	6.7
24	7	1979	21.0	32.0	0.0	6.1
25	7	1979	18.0	32.0	0.0	6.2
26	7	1979	22.0	37.0	0.0	7.2
27	7	1979	25.0	32.0	0.0	5.4
28	7	1979	21.0	31.0	0.0	5.5
29	7	1979	20.0	36.0	0.0	7.1
30	7	1979	23.0	36.0	0.0	6.6
31	7	1979	23.0	38.0	0.0	7.1
1	8	1979	24.0	31.0	0.0	4.6
2	8	1979	20.0	36.0	0.0	6.7
3	8	1979	20.0	36.0	0.0	6.6
4	8	1979	21.0	38.0	0.0	7.2
5	8	1979	21.0	40.0	0.0	7.6
6	8	1979	26.0	44.0	0.0	8.7
7	8	1979	24.0	36.0	0.0	6.5
8	8	1979	22.0	34.0	0.0	5.7
9	8	1979	23.0	34.0	0.0	6.0
10	8	1979	22.0	33.0	0.0	6.1
11	8	1979	21.0	31.0	0.0	5.7
12	8	1979	22.0	31.0	0.0	5.4
13	8	1979	20.0	30.0	0.0	5.0
14	8	1979	18.0	31.0	0.0	5.6
15	8	1979	17.0	32.0	0.0	6.0
16	8	1979	23.0	36.0	0.0	6.7
17	8	1979	21.0	29.0	1.0	5.2
18	8	1979	21.0	32.0	0.0	5.9
19	8	1979	20.0	29.0	0.0	5.1
20	8	1979	19.0	31.0	0.0	5.6
21	8	1979	19.0	29.0	0.9	5.0
22	8	1979	17.0	30.0	0.0	5.2
23	8	1979	19.0	34.0	0.0	5.9
24	8	1979	23.0	36.0	1.6	6.3
25	8	1979	19.0	30.0	0.0	5.4
26	8	1979	17.0	29.0	0.0	5.0
27	8	1979	17.0	31.0	0.0	5.3
28	8	1979	21.0	33.0	0.0	5.5
29	8	1979	21.0	35.0	0.0	5.9
30	8	1979	23.0	32.0	0.0	4.6
31	8	1979	25.0	31.0	0.0	4.1
1	9	1979	23.0	30.0	0.0	4.0
2	9	1979	23.0	29.0	0.0	4.1
3	9	1979	17.0	30.0	0.0	4.7
4	9	1979	19.0	30.0	0.0	4.7
5	9	1979	17.0	28.0	0.0	4.2
6	9	1979	17.0	29.0	0.0	4.4
7	9	1979	21.0	24.0	0.0	2.4
8	9	1979	17.0	29.0	1.5	4.1
9	9	1979	22.0	30.0	0.0	4.3
10	9	1979	17.0	28.0	0.0	4.0
11	9	1979	18.0	29.0	0.0	4.2
12	9	1979	20.0	30.0	0.0	4.4
13	9	1979	19.0	30.0	0.7	4.3
14	9	1979	18.0	29.0	7.8	3.8
15	9	1979	19.0	30.0	0.0	4.1
16	9	1979	19.0	29.0	0.0	3.9
17	9	1979	18.0	29.0	0.0	3.9
18	9	1979	18.0	31.0	0.0	4.5
19	9	1979	23.0	32.0	0.0	4.5
20	9	1979	19.0	31.0	0.0	4.4
21	9	1979	18.0	27.0	18.9	3.4
22	9	1979	18.0	27.0	0.5	3.5
23	9	1979	14.0	21.0	21.3	2.4
24	9	1979	13.0	24.0	8.7	3.3
25	9	1979	14.0	25.0	0.0	3.5
26	9	1979	14.0	25.0	0.0	3.5
27	9	1979	15.0	23.0	1.3	3.0
28	9	1979	13.0	24.0	4.9	3.0
29	9	1979	17.0	23.0	5.6	2.5
30	9	1979	17.0	24.5	0.0	3.0
1	10	1979	17.0	26.0	0.0	3.4
2	10	1979	15.0	25.0	0.0	3.0
3	10	1979	15.0	25.0	0.0	2.9
4	10	1979	14.0	29.0	0.0	3.6
5	10	1979	19.0	29.0	0.0	3.6
6	10	1979	17.0	27.0	0.0	3.0
7	10	1979	15.0	26.0	1.2	2.8
8	10	1979	15.0	25.0	0.0	2.6
9	10	1979	17.0	28.0	0.0	3.1
10	10	1979	21.0	29.0	0.0	3.3
11	10	1979	20.0	28.0	0.0	3.0
12	10	1979	14.0	29.0	0.0	3.2
13	10	1979	15.0	29.0	0.0	3.4
14	10	1979	18.0	31.0	0.0	3.5
15	10	1979	18.0	25.0	0.0	2.5
16	10	1979	14.0	33.0	0.0	3.9
17	10	1979	17.0	34.0	0.0	4.1
18	10	1979	19.0	25.0	0.0	2.1
19	10	1979	14.0	25.0	0.0	2.5
20	10	1979	12.0	23.0	0.0	2.3
21	10	1979	12.0	23.0	0.0	2.4
22	10	1979	11.0	26.0	0.0	2.6
23	10	1979	15.0	26.0	0.0	2.5
24	10	1979	14.0	25.0	0.0	2.0
25	10	1979	17.0	21.0	10.7	1.4
26	10	1979	16.0	23.0	4.4	1.8
27	10	1979	16.0	25.0	0.8	2.4
28	10	1979	14.0	21.0	20.7	1.9
29	10	1979	13.0	16.0	0.0	1.2
30	10	1979	12.0	20.0	3.4	2.0
31	10	1979	12.0	19.0	5.6	1.7
1	11	1979	12.0	20.0	0.0	1.7
2	11	1979	13.0	20.0	2.5	1.5
3	11	1979	13.0	18.0	2.8	1.4
4	11	1979	11.0	18.0	63.7	1.2
5	11	1979	14.0	18.0	18.1	1.4
6	11	1979	15.0	19.0	1.0	1.5
7	11	1979	15.0	22.0	0.0	1.8
8	11	1979	13.0	23.0	0.0	2.0
9	11	1979	11.0	25.0	0.0	2.3
10	11	1979	11.0	22.0	0.0	1.7
11	11	1979	10.0	16.0	0.6	1.5
12	11	1979	8.0	16.0	1.4	1.2
13	11	1979	7.0	18.0	0.0	1.8
14	11	1979	8.0	21.0	0.0	1.9
15	11	1979	12.0	21.0	0.0	2.0
16	11	1979	9.0	19.0	0.0	2.0
17	11	1979	7.0	14.0	0.0	1.2
18	11	1979	7.0	13.0	2.7	1.1
19	11	1979	8.0	16.0	21.2	1.3
20	11	1979	10.0	16.0	0.0	1.3
21	11	1979	7.0	16.0	2.8	1.1
22	11	1979	8.0	16.0	0.0	1.1
23	11	1979	9.0	16.0	0.0	1.0
24	11	1979	10.0	16.0	4.9	1.1
25	11	1979	9.0	16.0	17.5	1.1
26	11	1979	8.0	16.0	0.0	1.1
27	11	1979	8.0	17.0	0.0	1.1
28	11	1979	8.0	18.0	0.0	1.2
29	11	1979	9.0	18.0	0.0	1.3
30	11	1979	9.0	18.0	0.0	1.3
1	12	1979	8.0	21.0	0.0	1.4
2	12	1979	10.0	19.0	0.0	1.2
3	12	1979	10.0	18.0	0.0	1.2
4	12	1979	8.0	17.0	0.0	1.0
5	12	1979	7.0	17.0	0.0	1.0
6	12	1979	6.0	18.0	0.0	1.3
7	12	1979	3.0	18.0	0.0	1.3
8	12	1979	5.0	17.0	0.0	1.0
9	12	1979	9.0	18.0	0.0	1.3
10	12	1979	9.0	18.0	0.0	1.2
11	12	1979	8.0	19.0	0.0	1.2
12	12	1979	13.0	18.0	2.3	1.2
13	12	1979	9.0	20.0	0.0	1.4
14	12	1979	7.0	20.0	0.0	1.3
15	12	1979	9.0	18.0	0.0	1.2
16	12	1979	9.0	17.0	0.0	1.0
17	12	1979	12.0	18.0	0.0	0.9
18	12	1979	12.0	19.0	0.0	1.2
19	12	1979	11.0	15.0	0.0	1.0
20	12	1979	9.0	20.0	1.0	1.5
21	12	1979	12.0	19.0	0.0	1.5
22	12	1979	10.0	15.0	0.0	1.6
23	12	1979	4.0	13.0	0.0	1.2
24	12	1979	8.0	14.0	3.4	1.0
25	12	1979	9.0	18.0	0.0	1.2
26	12	1979	6.0	16.0	0.0	1.0
27	12	1979	9.0	15.0	3.6	0.9
28	12	1979	8.0	15.0	8.0	1.0
29	12	1979	8.0	16.0	0.6	1.4
30	12	1979	7.0	17.0	1.2	1.4
31	12	1979	7.0	17.0	0.0	1.6
1	1	1980	6.0	13.0	1.9	1.1
2	1	1980	9.0	17.0	28.7	1.3
3	1	1980	8.0	11.0	3.6	1.3
4	1	1980	5.0	15.0	0.0	1.2
5	1	1980	7.0	17.0	0.0	1.5
6	1	1980	8.0	14.0	4.5	1.1
7	1	1980	7.0	14.0	3.0	1.1
8	1	1980	6.0	15.0	0.0	1.2
9	1	1980	2.0	16.0	0.0	1.2
10	1	1980	4.0	16.0	0.0	1.2
11	1	1980	5.0	12.0	1.9	0.5
12	1	1980	8.0	13.0	8.3	1.1
13	1	1980	6.0	14.0	0.0	1.1
14	1	1980	7.0	16.0	0.0	1.0
15	1	1980	9.0	17.0	0.0	1.6
16	1	1980	7.0	14.0	0.0	1.2
17	1	1980	4.0	17.0	6.4	1.6
18	1	1980	7.0	16.0	0.0	1.6
19	1	1980	5.0	15.0	0.0	1.4
20	1	1980	5.0	15.0	0.0	1.4
21	1	1980	7.0	15.0	1.3	1.3
22	1	1980	5.0	18.0	2.7	1.6
23	1	1980	4.0	18.0	0.0	1.8
24	1	1980	4.0	18.0	0.0	1.8
25	1	1980	5.0	22.0	0.0	2.4
26	1	1980	7.0	21.0	0.0	2.1
27	1	1980	6.0	18.0	0.0	1.6
28	1	1980	3.0	16.0	0.0	1.3
29	1	1980	11.0	15.0	0.0	1.1
30	1	1980	9.0	14.0	5.6	0.8
31	1	1980	5.0	18.0	0.0	1.4
1	2	1980	10.0	17.0	0.0	1.6
2	2	1980	7.0	17.0	3.8	1.6
3	2	1980	6.0	17.0	0.0	1.7
4	2	1980	7.0	19.0	0.0	2.0
5	2	1980	10.0	21.0	0.0	2.2
6	2	1980	8.0	23.0	0.0	2.3
7	2	1980	6.0	17.0	0.0	1.3
