	Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
0	1	1	2041	2.5	8.5	0.0	0.4
1	2	1	2041	0.2	6.3	0.0	0.2
2	3	1	2041	-1.4	7.9	0.0	0.6
3	4	1	2041	-3.0	3.9	0.0	0.5
4	5	1	2041	-10.6	6.1	0.0	1.1
5	6	1	2041	3.9	8.6	0.0	0.4
6	7	1	2041	2.1	9.9	0.0	0.5
7	8	1	2041	2.2	6.1	0.0	0.4
8	9	1	2041	5.5	7.3	0.3	0.3
9	10	1	2041	4.2	7.8	2.6	0.4
10	11	1	2041	5.3	7.1	0.4	0.3
11	12	1	2041	4.8	8.4	22.1	0.4
12	13	1	2041	4.0	7.7	0.0	0.3
13	14	1	2041	1.5	5.5	0.0	0.2
14	15	1	2041	4.8	7.0	0.1	0.4
15	16	1	2041	1.1	5.2	2.3	0.4
16	17	1	2041	-0.7	0.5	3.0	0.2
17	18	1	2041	6.6	11.3	5.6	0.5
18	19	1	2041	6.4	12.6	0.1	0.7
19	20	1	2041	5.5	10.0	8.1	0.5
20	21	1	2041	6.5	9.5	7.1	0.4
21	22	1	2041	2.7	7.3	0.0	0.5
22	23	1	2041	0.4	7.0	0.0	0.5
23	24	1	2041	2.4	7.8	0.4	0.5
24	25	1	2041	2.3	9.6	6.4	0.8
25	26	1	2041	3.7	7.5	2.8	0.5
26	27	1	2041	3.2	6.2	17.1	0.3
27	28	1	2041	4.3	9.8	2.9	0.6
28	29	1	2041	3.2	6.0	0.0	0.3
29	30	1	2041	6.1	10.6	0.2	0.6
30	31	1	2041	5.6	10.3	10.4	0.5
31	1	2	2041	4.7	9.9	16.1	0.5
32	2	2	2041	1.2	12.2	0.0	1.1
33	3	2	2041	2.8	7.5	4.7	0.6
34	4	2	2041	4.8	7.1	10.7	0.4
35	5	2	2041	2.8	8.9	4.3	0.6
36	6	2	2041	4.7	9.8	4.5	0.6
37	7	2	2041	3.9	8.7	1.4	0.6
38	8	2	2041	3.9	8.5	13.1	0.6
39	9	2	2041	0.9	5.2	1.2	0.4
40	10	2	2041	-0.7	2.3	0.0	0.4
41	11	2	2041	8.0	13.0	0.0	0.7
42	12	2	2041	4.5	14.7	0.0	1.2
43	13	2	2041	7.9	11.1	1.3	0.6
44	14	2	2041	6.5	11.3	0.3	0.7
45	15	2	2041	2.4	8.1	1.7	0.6
46	16	2	2041	1.9	9.4	2.3	0.9
47	17	2	2041	-0.4	4.5	0.0	0.6
48	18	2	2041	-1.7	4.3	0.0	0.7
49	19	2	2041	7.5	12.1	0.6	0.8
50	20	2	2041	8.5	10.2	5.3	0.6
51	21	2	2041	1.3	7.7	3.3	0.8
52	22	2	2041	2.3	6.5	5.5	0.6
53	23	2	2041	5.4	10.8	0.6	0.7
54	24	2	2041	6.4	10.9	4.1	0.8
55	25	2	2041	5.2	9.6	9.4	0.5
56	26	2	2041	3.9	8.1	0.0	0.7
57	27	2	2041	6.6	10.9	0.0	0.9
58	28	2	2041	5.4	10.3	0.0	0.9
59	1	3	2041	2.1	7.9	7.0	0.6
60	2	3	2041	-1.4	9.2	1.4	0.9
61	3	3	2041	13.8	16.2	4.7	0.9
62	4	3	2041	7.6	21.2	0.0	2.0
63	5	3	2041	4.5	12.1	0.0	1.3
64	6	3	2041	2.7	9.9	0.0	1.2
65	7	3	2041	8.0	14.3	0.0	1.3
66	8	3	2041	5.0	18.7	0.0	2.0
67	9	3	2041	4.7	11.7	15.7	0.8
68	10	3	2041	4.6	10.4	2.6	1.0
69	11	3	2041	5.0	13.1	0.0	1.6
70	12	3	2041	6.6	11.9	0.0	1.3
71	13	3	2041	5.8	13.8	0.0	1.2
72	14	3	2041	7.3	15.5	0.0	1.4
73	15	3	2041	6.8	19.0	0.0	2.3
74	16	3	2041	4.8	16.6	0.0	2.0
75	17	3	2041	4.7	13.6	0.0	1.5
76	18	3	2041	2.8	11.9	0.0	1.7
77	19	3	2041	4.1	12.0	0.0	1.6
78	20	3	2041	6.9	11.8	2.4	1.3
79	21	3	2041	2.7	11.2	14.4	1.1
80	22	3	2041	5.8	12.4	7.6	0.9
81	23	3	2041	6.7	12.3	0.8	0.9
82	24	3	2041	5.3	11.5	0.0	1.3
83	25	3	2041	3.0	13.2	0.0	1.4
84	26	3	2041	3.3	11.2	3.8	1.4
85	27	3	2041	4.0	11.0	1.5	0.9
86	28	3	2041	2.6	8.9	1.8	1.1
87	29	3	2041	4.1	8.4	3.2	0.8
88	30	3	2041	6.0	6.9	9.1	0.9
89	31	3	2041	6.0	13.4	0.0	2.0
90	1	4	2041	5.6	13.5	0.0	1.7
91	2	4	2041	6.0	17.3	0.0	2.7
92	3	4	2041	8.8	17.6	1.4	1.7
93	4	4	2041	5.2	13.1	1.6	1.4
94	5	4	2041	6.7	17.0	0.0	2.5
95	6	4	2041	5.3	13.3	0.0	2.2
96	7	4	2041	5.8	8.4	6.3	1.4
97	8	4	2041	5.1	13.0	2.3	1.8
98	9	4	2041	5.1	17.5	1.9	2.1
99	10	4	2041	5.1	10.9	0.6	1.5
100	11	4	2041	7.7	14.9	0.0	2.5
101	12	4	2041	10.6	21.2	0.3	2.8
102	13	4	2041	6.6	15.7	0.1	2.2
103	14	4	2041	9.3	13.9	1.9	1.8
104	15	4	2041	6.7	14.3	3.1	1.8
105	16	4	2041	6.1	12.7	4.3	1.8
106	17	4	2041	6.9	16.1	0.0	2.9
107	18	4	2041	6.8	19.2	0.0	3.4
108	19	4	2041	5.0	21.5	0.0	3.5
109	20	4	2041	5.4	16.3	0.0	2.8
110	21	4	2041	3.9	17.5	0.0	2.9
111	22	4	2041	7.1	17.8	0.0	2.1
112	23	4	2041	6.7	16.3	2.8	1.6
113	24	4	2041	4.1	11.3	1.8	1.2
114	25	4	2041	5.0	11.6	3.1	1.8
115	26	4	2041	2.1	7.6	2.2	1.3
116	27	4	2041	2.8	11.6	0.4	2.4
117	28	4	2041	5.9	14.6	0.3	1.7
118	29	4	2041	9.3	20.5	0.0	3.6
119	30	4	2041	6.5	14.6	0.5	2.1
120	1	5	2041	7.3	14.7	4.9	1.7
121	2	5	2041	9.8	21.3	4.1	2.7
122	3	5	2041	11.1	21.6	3.7	3.7
123	4	5	2041	9.8	16.0	6.8	2.6
124	5	5	2041	10.4	15.7	2.2	2.7
125	6	5	2041	10.0	22.8	0.0	3.2
126	7	5	2041	11.3	25.4	0.0	3.9
127	8	5	2041	8.6	13.1	6.3	2.9
128	9	5	2041	9.7	13.5	2.6	2.2
129	10	5	2041	9.1	16.9	0.5	2.5
130	11	5	2041	7.9	18.7	0.0	4.0
131	12	5	2041	6.9	16.5	0.0	3.7
132	13	5	2041	8.8	16.9	3.4	2.8
133	14	5	2041	8.9	17.0	0.9	1.3
134	15	5	2041	10.5	23.3	0.0	3.6
135	16	5	2041	10.4	18.6	0.0	4.1
136	17	5	2041	12.3	15.4	3.7	3.3
137	18	5	2041	17.6	22.7	2.2	2.7
138	19	5	2041	15.7	28.4	3.3	4.8
139	20	5	2041	8.2	15.4	4.6	2.9
140	21	5	2041	10.1	17.4	0.5	2.0
141	22	5	2041	13.0	18.9	0.4	2.0
142	23	5	2041	11.4	20.6	1.8	3.1
143	24	5	2041	9.2	17.5	0.3	2.9
144	25	5	2041	6.1	20.3	0.0	3.5
145	26	5	2041	9.4	19.7	0.0	4.2
146	27	5	2041	6.7	21.4	0.0	4.1
147	28	5	2041	11.3	18.5	0.0	3.5
148	29	5	2041	13.7	22.0	0.0	4.1
149	30	5	2041	10.3	18.4	0.0	3.7
150	31	5	2041	11.9	14.9	0.0	3.0
151	1	6	2041	15.8	26.6	0.0	5.4
152	2	6	2041	12.8	23.2	0.0	4.4
153	3	6	2041	13.0	26.5	0.0	4.4
154	4	6	2041	11.7	27.5	0.0	3.9
155	5	6	2041	10.4	20.1	0.0	3.9
156	6	6	2041	12.1	16.9	0.0	1.6
157	7	6	2041	12.6	24.3	0.0	5.1
158	8	6	2041	11.5	25.8	0.0	5.5
159	9	6	2041	11.7	18.1	0.2	2.8
160	10	6	2041	10.4	18.2	0.0	4.0
161	11	6	2041	12.7	21.2	0.0	2.9
162	12	6	2041	13.5	22.7	0.0	3.5
163	13	6	2041	13.1	18.5	6.5	2.5
164	14	6	2041	12.4	19.6	25.0	3.8
165	15	6	2041	13.8	23.5	0.0	2.7
166	16	6	2041	15.0	22.6	0.0	4.3
167	17	6	2041	13.3	24.2	0.0	3.1
168	18	6	2041	13.5	29.3	0.0	3.7
169	19	6	2041	12.6	23.5	0.0	4.0
170	20	6	2041	12.0	28.3	0.0	4.2
171	21	6	2041	17.1	25.5	10.0	3.5
172	22	6	2041	18.2	22.1	0.6	2.7
173	23	6	2041	14.9	26.0	0.0	5.6
174	24	6	2041	13.2	23.9	0.0	4.5
175	25	6	2041	15.6	21.3	3.3	3.0
176	26	6	2041	14.5	19.6	0.1	2.3
177	27	6	2041	12.7	23.1	0.0	4.8
178	28	6	2041	11.0	22.5	0.0	4.7
179	29	6	2041	14.4	22.2	3.6	2.0
180	30	6	2041	15.0	27.6	0.0	3.7
181	1	7	2041	12.2	19.4	0.2	4.1
182	2	7	2041	9.2	18.6	8.2	3.0
183	3	7	2041	14.1	22.1	6.5	3.2
184	4	7	2041	14.4	20.6	1.2	3.8
185	5	7	2041	15.3	20.5	7.6	2.1
186	6	7	2041	18.0	20.1	0.2	0.8
187	7	7	2041	14.8	26.4	0.0	4.3
188	8	7	2041	14.8	29.8	0.0	5.0
189	9	7	2041	19.0	23.2	9.2	2.9
190	10	7	2041	16.6	20.9	7.1	3.1
191	11	7	2041	14.8	23.3	0.0	3.6
192	12	7	2041	17.3	24.4	0.0	3.3
193	13	7	2041	16.7	27.6	0.0	4.5
194	14	7	2041	16.1	24.4	0.0	4.8
195	15	7	2041	16.0	26.3	0.0	4.1
196	16	7	2041	17.8	25.4	0.0	4.2
197	17	7	2041	12.6	22.7	0.0	4.3
198	18	7	2041	13.1	24.9	0.0	3.3
199	19	7	2041	16.9	24.0	3.7	3.3
200	20	7	2041	20.0	23.6	0.4	2.1
201	21	7	2041	18.5	24.0	0.2	3.4
202	22	7	2041	20.2	29.9	0.0	4.4
203	23	7	2041	17.0	25.7	0.0	4.5
204	24	7	2041	15.4	22.5	2.6	2.7
205	25	7	2041	17.2	24.7	5.9	1.8
206	26	7	2041	18.3	22.5	7.3	2.3
207	27	7	2041	21.3	33.7	0.0	5.3
208	28	7	2041	18.0	32.0	0.0	5.7
209	29	7	2041	17.5	26.9	0.0	5.1
210	30	7	2041	18.0	26.7	2.9	3.7
211	31	7	2041	18.6	27.4	1.5	3.3
212	1	8	2041	18.6	31.8	0.0	5.3
213	2	8	2041	16.7	28.2	0.0	4.7
214	3	8	2041	19.6	31.3	0.0	4.8
215	4	8	2041	16.9	29.2	0.0	4.4
216	5	8	2041	17.5	30.6	0.0	4.6
217	6	8	2041	12.5	24.5	0.0	4.3
218	7	8	2041	14.0	25.8	0.0	4.0
219	8	8	2041	14.8	26.5	0.0	4.2
220	9	8	2041	14.4	25.0	0.0	3.0
221	10	8	2041	15.5	23.3	0.1	2.9
222	11	8	2041	12.5	21.4	6.1	2.2
223	12	8	2041	18.3	24.9	16.1	2.5
224	13	8	2041	20.2	26.3	0.0	4.2
225	14	8	2041	13.5	24.0	0.0	3.4
226	15	8	2041	14.9	24.5	0.0	2.6
227	16	8	2041	14.4	25.1	0.0	3.6
228	17	8	2041	15.2	24.9	0.0	2.9
229	18	8	2041	16.7	26.0	0.0	3.9
230	19	8	2041	16.7	21.0	10.0	1.9
231	20	8	2041	16.0	23.1	4.3	2.1
232	21	8	2041	16.5	21.6	1.0	2.4
233	22	8	2041	18.8	28.5	0.0	3.9
234	23	8	2041	17.7	28.8	0.0	4.5
235	24	8	2041	14.3	25.7	0.0	3.9
236	25	8	2041	15.3	22.3	4.2	2.9
237	26	8	2041	15.8	21.6	3.3	2.9
238	27	8	2041	15.0	23.5	3.2	3.7
239	28	8	2041	19.1	32.4	0.0	3.7
240	29	8	2041	23.6	31.0	0.0	3.9
241	30	8	2041	12.6	20.6	18.2	2.0
242	31	8	2041	13.8	19.4	0.8	1.3
243	1	9	2041	17.8	29.4	0.0	4.0
244	2	9	2041	15.0	32.5	0.0	4.0
245	3	9	2041	14.2	24.3	0.0	3.3
246	4	9	2041	15.1	22.6	1.6	1.4
247	5	9	2041	18.3	25.5	5.6	2.8
248	6	9	2041	16.3	31.4	0.1	3.3
249	7	9	2041	15.4	23.8	3.9	2.1
250	8	9	2041	13.8	21.1	20.0	2.6
251	9	9	2041	19.0	24.6	1.1	2.4
252	10	9	2041	16.2	22.8	0.3	2.6
253	11	9	2041	14.2	25.4	0.0	3.2
254	12	9	2041	15.8	23.4	0.0	3.0
255	13	9	2041	16.5	20.8	0.2	1.9
256	14	9	2041	19.4	20.3	1.7	0.4
257	15	9	2041	14.8	24.1	0.0	2.7
258	16	9	2041	16.7	21.5	0.0	1.6
259	17	9	2041	15.7	21.3	0.4	2.3
260	18	9	2041	14.8	18.8	14.5	2.0
261	19	9	2041	16.8	26.6	0.0	3.2
262	20	9	2041	17.2	28.3	0.0	3.1
263	21	9	2041	15.0	23.6	1.9	1.7
264	22	9	2041	18.4	22.7	0.1	1.6
265	23	9	2041	16.2	21.8	0.2	1.3
266	24	9	2041	16.4	19.5	7.1	1.3
267	25	9	2041	14.6	20.4	0.0	0.9
268	26	9	2041	15.0	22.3	3.3	1.8
269	27	9	2041	11.8	18.3	0.1	1.2
270	28	9	2041	9.9	20.2	0.0	2.1
271	29	9	2041	11.4	18.3	0.0	1.7
272	30	9	2041	14.4	14.7	3.9	0.8
273	1	10	2041	17.3	21.8	0.4	1.5
274	2	10	2041	15.7	19.0	2.9	1.5
275	3	10	2041	11.7	18.3	0.6	1.0
276	4	10	2041	8.4	18.0	0.5	1.5
277	5	10	2041	12.6	17.4	4.5	1.2
278	6	10	2041	12.4	15.8	9.6	0.9
279	7	10	2041	11.1	16.6	17.6	1.0
280	8	10	2041	12.0	16.0	1.2	1.1
281	9	10	2041	13.9	18.9	0.0	1.4
282	10	10	2041	12.8	22.1	0.0	1.9
283	11	10	2041	12.7	19.6	0.0	1.5
284	12	10	2041	17.2	19.1	0.0	1.0
285	13	10	2041	14.9	17.6	15.5	0.7
286	14	10	2041	14.0	16.5	3.2	0.6
287	15	10	2041	14.4	19.1	0.0	1.2
288	16	10	2041	13.8	25.9	0.0	2.0
289	17	10	2041	6.4	16.8	0.0	1.4
290	18	10	2041	7.8	14.0	0.0	1.1
291	19	10	2041	2.5	12.4	0.0	1.2
292	20	10	2041	9.2	14.3	6.8	0.9
293	21	10	2041	11.3	14.7	4.8	0.6
294	22	10	2041	11.6	17.7	0.0	1.1
295	23	10	2041	9.5	17.6	0.0	1.2
296	24	10	2041	8.3	15.9	0.0	1.1
297	25	10	2041	12.1	15.6	2.6	0.8
298	26	10	2041	9.6	16.4	0.3	1.1
299	27	10	2041	9.1	16.5	0.0	1.0
300	28	10	2041	6.7	18.5	0.0	1.4
301	29	10	2041	10.5	14.2	0.0	0.7
302	30	10	2041	10.7	12.2	0.0	0.4
303	31	10	2041	9.0	13.2	0.5	0.7
304	1	11	2041	9.0	14.8	5.4	0.8
305	2	11	2041	3.3	11.5	0.0	0.9
306	3	11	2041	6.1	8.7	0.0	0.4
307	4	11	2041	9.2	15.4	0.0	0.9
308	5	11	2041	9.4	17.2	0.0	1.1
309	6	11	2041	9.2	15.1	0.0	0.7
310	7	11	2041	7.9	14.3	2.5	0.8
311	8	11	2041	7.4	13.5	7.1	0.8
312	9	11	2041	5.3	14.6	0.4	1.1
313	10	11	2041	3.5	7.3	1.4	0.4
314	11	11	2041	3.6	7.4	0.0	0.3
315	12	11	2041	9.4	16.2	0.0	0.8
316	13	11	2041	7.4	12.9	0.3	0.6
317	14	11	2041	2.4	9.1	0.5	0.7
318	15	11	2041	-1.7	8.7	0.0	0.9
319	16	11	2041	4.5	9.5	0.0	0.5
320	17	11	2041	7.8	8.8	0.6	0.2
321	18	11	2041	5.4	11.5	18.8	0.7
322	19	11	2041	4.3	7.5	0.0	0.2
323	20	11	2041	9.4	16.0	0.0	0.5
324	21	11	2041	9.1	12.9	6.4	0.3
325	22	11	2041	3.7	9.6	5.7	0.6
326	23	11	2041	5.6	8.9	0.6	0.4
327	24	11	2041	2.1	7.5	0.0	0.4
328	25	11	2041	1.7	8.5	0.0	0.4
329	26	11	2041	5.8	9.8	2.2	0.4
330	27	11	2041	5.6	7.3	3.3	0.2
331	28	11	2041	7.6	15.0	0.0	0.7
332	29	11	2041	7.1	12.9	0.0	0.6
333	30	11	2041	4.6	8.7	6.9	0.4
334	1	12	2041	2.6	5.4	13.7	0.3
335	2	12	2041	4.8	9.2	0.4	0.5
336	3	12	2041	2.5	8.6	2.0	0.5
337	4	12	2041	5.0	9.7	0.3	0.5
338	5	12	2041	4.9	11.7	1.4	0.7
339	6	12	2041	10.4	13.9	1.0	0.5
340	7	12	2041	8.9	12.5	0.4	0.3
341	8	12	2041	-0.4	2.2	0.0	0.1
342	9	12	2041	-0.5	2.1	0.0	0.3
343	10	12	2041	4.6	8.9	4.5	0.5
344	11	12	2041	3.4	8.7	2.7	0.6
345	12	12	2041	7.0	10.6	0.3	0.4
346	13	12	2041	6.6	8.9	0.3	0.3
347	14	12	2041	5.8	9.4	0.1	0.4
348	15	12	2041	5.4	9.4	0.5	0.4
349	16	12	2041	11.0	15.2	4.9	0.5
350	17	12	2041	5.3	10.4	0.0	0.6
351	18	12	2041	-4.8	1.7	0.0	0.3
352	19	12	2041	-1.1	5.6	0.9	0.5
353	20	12	2041	2.2	7.4	4.8	0.5
354	21	12	2041	4.2	5.6	5.5	0.2
355	22	12	2041	4.7	8.7	0.1	0.4
356	23	12	2041	3.3	5.4	0.0	0.3
357	24	12	2041	-0.4	4.9	0.0	0.4
358	25	12	2041	-4.5	3.2	0.0	0.5
359	26	12	2041	3.5	9.4	0.0	0.6
360	27	12	2041	8.7	9.5	4.8	0.2
361	28	12	2041	5.3	9.4	0.3	0.4
362	29	12	2041	5.8	12.2	8.0	0.7
363	30	12	2041	3.3	6.7	9.6	0.4
364	31	12	2041	5.0	9.1	1.7	0.4
365	1	1	2042	1.2	3.0	0.1	0.2
366	2	1	2042	-0.7	4.7	0.4	0.2
367	3	1	2042	5.5	10.8	3.8	0.5
368	4	1	2042	5.7	11.7	7.0	0.6
369	5	1	2042	1.6	5.2	3.7	0.3
370	6	1	2042	2.4	4.6	2.6	0.3
371	7	1	2042	0.7	1.0	0.1	0.1
372	8	1	2042	2.2	6.4	5.0	0.4
373	9	1	2042	1.8	6.4	0.5	0.3
374	10	1	2042	3.2	7.1	4.8	0.4
375	11	1	2042	1.9	5.4	11.8	0.4
376	12	1	2042	-0.6	0.1	10.6	0.1
377	13	1	2042	1.9	7.1	1.8	0.5
378	14	1	2042	1.2	5.5	0.0	0.3
379	15	1	2042	2.8	9.6	0.0	0.5
380	16	1	2042	4.8	8.9	5.8	0.5
381	17	1	2042	0.4	6.0	0.1	0.5
382	18	1	2042	1.5	6.0	1.7	0.5
383	19	1	2042	3.6	8.1	0.0	0.4
384	20	1	2042	2.9	11.4	0.0	0.9
385	21	1	2042	5.0	8.3	1.2	0.3
386	22	1	2042	3.0	8.1	0.3	0.6
387	23	1	2042	1.6	5.1	0.3	0.4
388	24	1	2042	2.1	7.4	0.3	0.6
389	25	1	2042	5.1	10.5	0.0	0.7
390	26	1	2042	3.3	7.8	0.0	0.4
391	27	1	2042	-1.2	2.1	0.0	0.3
392	28	1	2042	-0.9	0.5	0.5	0.1
393	29	1	2042	6.8	10.8	3.4	0.6
394	30	1	2042	6.5	7.3	0.0	0.2
395	31	1	2042	4.3	8.6	0.0	0.6
396	1	2	2042	7.3	12.5	0.0	0.6
397	2	2	2042	-4.4	2.8	0.0	0.6
398	3	2	2042	0.9	7.5	1.4	0.7
399	4	2	2042	1.4	7.6	1.1	0.7
400	5	2	2042	0.8	4.6	3.7	0.4
401	6	2	2042	2.5	7.2	0.0	0.5
402	7	2	2042	3.1	6.9	0.0	0.5
403	8	2	2042	4.6	8.6	3.6	0.4
404	9	2	2042	3.1	9.1	6.8	0.6
405	10	2	2042	2.8	8.5	0.0	0.7
406	11	2	2042	6.6	11.7	0.0	0.7
407	12	2	2042	-2.6	2.9	0.0	0.5
408	13	2	2042	-1.0	4.8	0.0	0.6
409	14	2	2042	-9.4	1.7	0.0	0.8
410	15	2	2042	-3.1	1.0	0.0	0.4
411	16	2	2042	-2.9	4.3	0.0	0.7
412	17	2	2042	1.6	9.6	2.3	0.8
413	18	2	2042	4.4	9.5	3.2	0.8
414	19	2	2042	1.0	4.4	0.0	0.5
415	20	2	2042	-0.6	6.1	0.0	0.8
416	21	2	2042	-0.8	6.1	0.0	0.8
417	22	2	2042	-3.1	3.8	0.0	0.7
418	23	2	2042	-1.0	7.2	0.0	0.9
419	24	2	2042	2.4	9.3	0.0	1.0
420	25	2	2042	3.7	11.1	3.0	0.9
421	26	2	2042	6.0	12.5	0.3	1.0
422	27	2	2042	8.5	10.8	12.9	0.7
423	28	2	2042	4.0	9.4	10.7	0.8
424	1	3	2042	6.1	9.2	0.4	0.7
425	2	3	2042	4.5	8.8	10.6	0.8
426	3	3	2042	6.2	10.6	17.0	1.0
427	4	3	2042	1.0	4.4	0.1	0.6
428	5	3	2042	4.6	9.1	0.6	0.8
429	6	3	2042	6.8	11.3	3.3	1.0
430	7	3	2042	6.0	11.9	9.0	1.1
431	8	3	2042	2.4	10.2	7.9	1.1
432	9	3	2042	5.5	10.3	1.6	0.9
433	10	3	2042	3.2	13.0	0.0	1.6
434	11	3	2042	5.3	14.9	0.0	1.2
435	12	3	2042	3.8	11.8	0.0	1.4
436	13	3	2042	5.0	14.1	0.0	1.6
437	14	3	2042	2.3	5.0	0.0	0.7
438	15	3	2042	3.6	6.9	0.0	0.8
439	16	3	2042	6.2	10.7	0.1	0.9
440	17	3	2042	5.9	11.0	5.0	0.8
441	18	3	2042	7.9	16.4	2.3	1.1
442	19	3	2042	10.8	15.7	5.9	1.2
443	20	3	2042	4.6	9.6	8.2	1.2
444	21	3	2042	7.0	8.2	0.3	1.0
445	22	3	2042	8.0	14.9	0.7	1.0
446	23	3	2042	7.8	12.7	4.9	0.9
447	24	3	2042	8.9	15.3	0.0	0.8
448	25	3	2042	9.9	16.1	0.0	1.5
449	26	3	2042	8.5	15.4	0.0	1.4
450	27	3	2042	8.4	13.7	0.0	1.4
451	28	3	2042	3.9	11.2	22.2	1.7
452	29	3	2042	5.8	11.2	2.3	1.4
453	30	3	2042	5.4	11.3	9.4	0.9
454	31	3	2042	7.2	11.2	0.4	0.6
455	1	4	2042	2.4	9.6	0.0	1.1
456	2	4	2042	3.8	10.5	2.1	1.3
457	3	4	2042	5.4	11.3	0.2	1.3
458	4	4	2042	6.1	11.6	12.6	1.5
459	5	4	2042	2.6	9.6	0.0	1.6
460	6	4	2042	1.3	13.5	0.0	1.4
461	7	4	2042	7.2	17.9	0.0	2.0
462	8	4	2042	7.6	17.8	0.0	2.3
463	9	4	2042	6.5	13.9	2.7	1.0
464	10	4	2042	7.6	13.7	0.2	1.1
465	11	4	2042	7.0	17.1	0.0	2.9
466	12	4	2042	5.9	16.7	0.0	2.8
467	13	4	2042	4.4	9.8	2.5	1.9
468	14	4	2042	1.6	9.7	2.8	2.0
469	15	4	2042	7.8	16.6	0.0	2.8
470	16	4	2042	7.2	16.7	0.0	3.1
471	17	4	2042	6.4	13.3	0.2	1.8
472	18	4	2042	8.4	20.6	0.0	2.9
473	19	4	2042	5.1	11.5	0.0	2.4
474	20	4	2042	6.2	9.4	1.8	2.1
475	21	4	2042	6.8	17.1	0.4	2.7
476	22	4	2042	6.0	14.2	0.9	2.0
477	23	4	2042	5.4	11.2	0.5	1.7
478	24	4	2042	5.2	8.4	2.7	1.5
479	25	4	2042	3.8	11.6	2.2	1.2
480	26	4	2042	5.3	11.2	2.0	1.7
481	27	4	2042	7.5	18.6	0.0	3.5
482	28	4	2042	6.3	17.4	0.0	3.5
483	29	4	2042	9.0	21.0	0.0	3.9
484	30	4	2042	8.4	17.9	0.0	3.3
485	1	5	2042	5.4	12.3	0.0	2.3
486	2	5	2042	6.5	16.8	0.0	3.1
487	3	5	2042	11.5	22.6	0.0	4.1
488	4	5	2042	10.0	25.0	0.0	3.3
489	5	5	2042	8.8	22.6	0.0	3.0
490	6	5	2042	7.7	21.4	0.0	4.1
491	7	5	2042	7.7	17.7	0.0	3.3
492	8	5	2042	7.4	18.3	0.0	3.2
493	9	5	2042	11.1	25.6	0.0	4.5
494	10	5	2042	13.7	26.8	0.0	5.0
495	11	5	2042	10.4	23.0	0.0	3.9
496	12	5	2042	10.3	22.6	0.0	3.1
497	13	5	2042	5.7	18.1	0.0	3.6
498	14	5	2042	5.9	10.3	0.1	1.8
499	15	5	2042	12.4	26.0	0.8	2.6
500	16	5	2042	13.5	21.9	0.5	2.6
501	17	5	2042	8.0	15.3	1.5	3.4
502	18	5	2042	6.1	18.1	0.0	3.9
503	19	5	2042	9.1	13.2	0.4	0.7
504	20	5	2042	6.8	13.8	1.4	1.7
505	21	5	2042	8.4	13.0	6.8	2.3
506	22	5	2042	10.3	12.6	4.6	2.1
507	23	5	2042	14.0	23.3	1.3	3.2
508	24	5	2042	13.9	19.3	13.4	2.7
509	25	5	2042	10.6	19.1	2.3	1.7
510	26	5	2042	12.5	18.5	4.7	2.4
511	27	5	2042	9.9	15.2	0.5	1.8
512	28	5	2042	11.1	19.0	0.0	4.1
513	29	5	2042	11.5	17.5	6.0	1.6
514	30	5	2042	11.3	18.6	5.9	2.6
515	31	5	2042	10.2	17.7	0.2	3.6
516	1	6	2042	11.7	20.9	0.0	4.7
517	2	6	2042	12.2	19.8	0.0	3.5
518	3	6	2042	10.9	14.3	0.0	3.5
519	4	6	2042	13.4	19.6	0.0	2.1
520	5	6	2042	14.2	18.0	0.1	2.3
521	6	6	2042	12.8	21.0	0.3	2.4
522	7	6	2042	14.1	21.9	0.0	3.9
523	8	6	2042	12.2	21.1	0.0	3.2
524	9	6	2042	13.7	14.9	11.5	2.5
525	10	6	2042	10.4	14.4	0.4	2.1
526	11	6	2042	9.8	18.8	0.0	4.3
527	12	6	2042	12.4	21.9	0.0	4.4
528	13	6	2042	13.7	23.3	0.0	3.3
529	14	6	2042	14.1	27.0	0.0	4.5
530	15	6	2042	18.2	27.3	0.0	4.0
531	16	6	2042	13.5	25.4	0.0	4.7
532	17	6	2042	12.6	24.0	0.0	4.4
533	18	6	2042	12.8	23.4	0.0	3.8
534	19	6	2042	14.6	27.8	0.0	3.4
535	20	6	2042	19.8	25.9	0.0	4.9
536	21	6	2042	15.1	24.1	10.7	2.4
537	22	6	2042	12.6	19.4	0.0	2.5
538	23	6	2042	13.5	23.2	0.0	3.9
539	24	6	2042	12.8	21.8	0.0	4.0
540	25	6	2042	14.5	21.6	0.0	4.6
541	26	6	2042	16.2	26.7	0.0	5.7
542	27	6	2042	14.1	24.2	0.0	4.1
543	28	6	2042	14.1	21.8	0.0	3.6
544	29	6	2042	14.0	23.6	0.0	3.5
545	30	6	2042	12.7	22.5	0.0	3.2
546	1	7	2042	11.5	16.2	0.2	1.4
547	2	7	2042	12.5	20.0	1.1	2.3
548	3	7	2042	11.9	21.2	9.6	1.9
549	4	7	2042	15.2	22.8	0.2	1.9
550	5	7	2042	18.1	28.3	0.7	2.9
551	6	7	2042	12.7	19.9	1.2	2.5
552	7	7	2042	12.8	20.0	2.9	2.7
553	8	7	2042	22.1	24.8	15.0	3.0
554	9	7	2042	17.4	26.0	9.2	3.6
555	10	7	2042	14.3	25.8	0.0	4.4
556	11	7	2042	11.3	23.9	0.0	4.3
